Tournament Name,Start Date,End Date,Course Name,City,State,Country
The Players Championship,3/12/2026,3/15/2026,TPC Sawgrass,Ponte Vedra Beach,FL,USA
Masters Tournament,4/9/2026,4/12/2026,Augusta National Golf Club,Augusta,GA,USA
PGA Championship,5/14/2026,5/17/2026,Aronimink Golf Club,Newtown Square,PA,USA
U.S. Open,6/18/2026,6/21/2026,Shinnecock Hills Golf Club,Southampton,NY,USA
The Open Championship,7/16/2026,7/19/2026,Royal Birkdale Golf Club,Southport,,England
FedEx St. Jude Championship,8/3/2026,8/16/2026,TPC Southwind,Memphis,TN,USA
BMW Championship,8/20/2026,8/23/2026,Bellerive Country Club,St. Louis,MO,USA
Tour Championship,8/27/2026,8/30/2026,East Lake Golf Club,Atlanta,GA,USA
